Name,Address,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Description,Currency,Price Level,City,Country,State
Da Franco & Tony Ristorante,"2815 Middletown Rd., New York, 10461, USA",Italian-American,-73.8361459,40.8435451,Selected Restaurants,0,"Air conditioning,Valet parking,Wheelchair access","There is so much to love here, where sharply dressed servers dish up equal parts warmth, hospitality and steaming bowls of pasta. The menu leans heavily toward that nostalgic sort of red-sauce, Italian-American cooking that is again finding more and more respect, thanks to mouthwatering dishes. The interior is lovely, which is particularly important since you’re in for a bit of a wait (everything is made fresh to order), but there won't be any complaints when irresistible pasta like garganelli alla Norma, with eggplant, tomato, basil pesto and fior di latte mozzarella, arrive. Maiale con Gorgonzola is a thick and tender pork chop with the namesake creamy sauce; tarta di fico, filled with figs and goat cheese, is another hit.",$,3,New York,USA,New York
Goosefeather,"49 E. Sunnyside Ln., Tarrytown, 10591, USA",Cantonese,-73.85851,41.04811,Selected Restaurants,0,"Air conditioning,Brunch,Car park,Garden or park,Terrace,Valet parking","This destination-worthy dining room is coveted for its idyllic setting of sprawling estate grounds with a carriage house, cottage, and two historic, freshly minted mansions. Nestled within these luxurious surrounds is Goosefeather, where guests are greeted by well-appointed nooks, all blending old-fashioned charm with new-world elements.The menu is surprisingly unforgettable as conceived by Dale Talde. Known for his craft with Hong Kong-style food, the talented chef infuses these staples with a modern, seasonal twist. Kung pao chicken wings with a buttermilk dill ranch dip gives a familiar favorite a new lease on life. Bao, with a salty-sweet crispy shrimp filling mixed with cool daikon and cabbage, is an absolute must.",$,3,Tarrytown,USA,New York
Blue Ribbon,"97 Sullivan St., New York, 10012, USA",Contemporary,-74.0030747,40.7254987,Selected Restaurants,0,Air conditioning,"The original outpost of the legendary Blue Ribbon empire begins here in SoHo, with Bruce and Eric Bromberg opening this brilliant charmer in 1992 to instant acclaim (and plenty of fellow chef loyalists). Nearly 30 years later, those cozy booths and bar seats remain packed to the gills, namely because of the group's can’t-miss formula—a late-night bistro that serves critically acclaimed food into the wee hours of the morning.This kitchen's highlight reel is long, but don’t miss the incredibly fresh shucked oysters; smoked trout salad, tossed with sour cream and zippy horseradish; or the now-legendary fried chicken with mashed potatoes. Finish with the impossibly good banana-walnut bread pudding, laced with caramel sauce.",$,3,New York,USA,New York
Casa Dani,"448 W. 33rd St., New York, 10001, USA",Spanish,-73.9987615,40.7534938,Selected Restaurants,0,Air conditioning,"There is nothing homey about Chef Dani Garcia’s sprawling new casa, located in the sparkling Citizens food hall in Manhattan West. A buzzy lounge opens into a packed two-story dining room that is full-on glamour with ceilings that reach for the sky, a glassed-in open kitchen, beautiful fabric and texture at every corner and a professional clientele that likes to eat well and look good doing it. Big groups like to swing for the pricey paella, but we suggest building a meal around a wide range of small dishes, starting with any one of the fantastic preparations of tuna. A richly satisfying and unexpectedly creamy tortilla española as well as expertly fried buñuelos de mi madre (cod fritters) are wonderful benchmarks from this famed chef.",$,4,New York,USA,New York
Ivan Ramen,"25 Clinton St., New York, 10002, USA",Japanese,-73.98439,40.720497,Selected Restaurants,0,"Air conditioning,Terrace","After opening a series of successful ramen shops in Tokyo, Ivan Orkin could not have picked a better location for his NY flagship. Indie rock beats, designer tees, and murals of manga cutouts come together seamlessly at this Clinton Street spot; and from solo stools along the wall to counter seats facing the kitchen, the snug little space has packed in the crowds since opening in 2014.Starters like crispy eggplant with tahini and charred garlic or cold sesame noodles with roasted peppers showcase the chef's preference for flair and flavor. Ordering ramen is non-negotiable. Friendly servers will push the house favorite—chicken paitan with shio kombu and egg yolk, but the classic tonkotsu with shoyu-glazed chashu and black garlic oil is a bolder delight.",$,2,New York,USA,New York
Vinum,"704 Bay St., New York, 10304, USA",Italian,-74.074715,40.624893,Selected Restaurants,0,"Air conditioning,Interesting wine list","As its name would suggest, this bijou on Bay Street is centered around wines, with many offered by the glass. Inside, where wooden wine crates double as decor, the place feels like an osteria straight out of Italy.The menu is designed for sharing. “The Meatball Bar” is a treat, with unlikely twists on tired offerings—think truffled veal or lamb. Hearty mains, like a pan-roasted Berkshire pork chop with rosemary, garlic and balsamic vinegar, or a smoky puttanesca pasta are never a bad idea. Chef Massimo Felici’s passion for baking and pastries is clear in the house-made breads, and carries through to desserts that are worth getting excited over.",$,2,New York,USA,New York
JoJo,"160 E. 64th St., New York, 10065, USA",Contemporary,-73.9656,40.765182,Selected Restaurants,0,"Air conditioning,Brunch","Chef Jean-Georges Vongerichten runs a restaurant empire today that spans the globe, but his journey started here back in 1991. A few years ago, the space underwent a refresh, and now this cozy, two-story townhouse is a contemporary respite for the area’s moneyed residents. The menu isn’t particularly groundbreaking—think roast chicken, seared salmon, and Maine lobster—but you’ll certainly find seasonality, quality product, and astute cooking in good supply. Recent highlights include warm asparagus with vegetable vinaigrette as well as rack of lamb with braised artichokes and peas. For dessert, try something new like the sour cherry pie or indulge in a bit of nostalgia with the likes of molten chocolate cake with vanilla ice cream.",$,3,New York,USA,New York
Faun,"606 Vanderbilt Ave., New York, 11238, USA",Contemporary,-73.968704,40.67825,Selected Restaurants,0,"Air conditioning,Brunch,Terrace","This Prospect Heights haven is one that should be on everyone's radar. Adorned with cool marble surfaces and a flaming open kitchen, it is welcoming, intimate, and tranquil. The long bar is lovely for socializing, as is the backyard—which flaunts the kind of charm that diners crave on warm days.Thanks to this kitchen's vision, the menu is concise and dotted with superb items. Start with the fresh-baked focaccia—a veritable dream among carb lovers—that pairs especially well with creamy chicken liver mousse and tangy pickles. Then proceed to devour the wonderfully gamey Colorado lamb chops, tailed by a peach and blueberry tart with vanilla gelato. From a palatably priced flight of amari to the house soda, this team offers an ideal dining experience.",$,3,New York,USA,New York
Via Carota,"51 Grove St., New York, 10014, USA",Italian,-74.0035517,40.7331146,Selected Restaurants,0,"Air conditioning,Terrace","Occasionally, predictability can be a beautiful thing, especially when it comes to rave-worthy Italian cooking. Via Carota is not so much robotically perfect as it is pleasing—in fact it’s the kind of place where dishes can (and should) be piled on. Italian style and artistry combine in this homey space that features bare wood farm tables, sideboards and whitewashed brick. Plan ahead, since reservations fill quickly at this popular spot. Diners may start nibbling on deep-fried olives that are plump, piping-hot and stuffed with pork sausage. Then, a luscious (and unmissable) risotto cacio e pepe arrives loaded with pecorino and fresh pepper. For dessert, the simple-sounding flourless chocolate cake is downright excellent.",$,2,New York,USA,New York
M. Wells,"43-15 Crescent St., New York, 11101, USA",Gastropub,-73.94241,40.748543,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","M. Wells has had a front-row seat to Long Island City’s transformation ever since it opened in a converted auto-body shop in 2013. But through every new skyscraper and food trend, Chef Hugue Dufour has stuck to his Canadian-French roots. Be warned: The little chalkboard menu does not convey the sheer boldness with which everything is salted, peppered and spiced. You could make a meal out of the appetizers. A tomato peanut butter katsu sandwich? Sure thing. Buttery mashed potatoes fried into balls? Bring it on. Wagyu, filet mignon wrapped in bacon, a tower of pork chops dripping in anchovy butter – this is food packed with delicious, heartwarming calories. Fire-engine red banquettes, exposed brick and an open kitchen always keep the room lively.",$,3,New York,USA,New York
Houseman,"508 Greenwich St., New York, 10018, USA",American,-74.009155,40.725758,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","Inspired by the word ""husmanskost"" meaning “everyday food"" in Norwegian, this delightful restaurant from Chef/owner Ned Baldwin is the true definition of a neighborhood spot. Sporting a small, but sharply designed interior, it's replete with schoolhouse chairs and reclaimed bowling alley-wood tables.This menu is all about simplicity and seasonality. Dinner may begin with smoked bluefish with seeded crackers or duck liver mousse with cranberry gastrique and toasted sourdough. Then, sea bass is poached in a seafood broth bobbing with clams, juicy tomatoes and crisp yu choi. Finally, the much-lauded fries live up to the hype with fluffy, crispy, and perfectly salted slivers of double-fried potato.",$,3,New York,USA,New York
Pylos,"128 E. 7th St., New York, 10009, USA",Greek,-73.9840047,40.7261364,Selected Restaurants,0,"Air conditioning,Brunch","Restaurateur Christos Valtzoglou has found a winning formula with this longstanding hideaway, which continues to sparkle as brightly as the Aegean Sea on a summer day. Taking its name from the Greek translation of “made from clay,” this contemporary taverna also features a ceiling canopy of suspended terra-cotta pots, rustic whitewashed walls and lapis-blue insets.Pale-green stemware and stark-white crockery are used to serve wines from the homeland as well as a menu of rustic, home-style food. Keftedakia are light and texturally exquisite meatballs, pan fried in olive oil and proffered as an appetizer. Gigantes are baked in honey-scented tomato-dill sauce; while aginares moussaka is a creamy vegetarian take on the classic, made here with artichokes.",$,3,New York,USA,New York
King,"18 King St., New York, 10014, USA",Mediterranean Cuisine,-74.003293,40.727753,Selected Restaurants,0,"Air conditioning,Terrace","It’s an art form to make delicious food look this easy. Chef/owners Clare de Boer and Jess Shadbolt met working at London's esteemed River Café, then banded together with Annie Shi to open King. The popular bar area leads to an intimate rear dining space lined with bright artwork and gleaming mirrors—the overall effect is a sense of ease that restaurants can take ages to acquire.The kitchen brings a deft touch to their small, daily-changing menu, with ingredients pulled straight from the greenmarket. A tangle of warm tagliarini has gratifying bite, paired with a textured tomato sauce; while perfectly cooked lombatello (Italian for hanger steak) arrives chargrilled over twigs of rosemary, with braised rainbow chard and a lovely anchovy and oregano salsa.",$,3,New York,USA,New York
Ernesto's,"259 E. Broadway, New York, 10002, USA",Spanish,-73.9855324,40.7143679,Selected Restaurants,0,"Air conditioning,Interesting wine list","It’s all too easy to find favor in this bustling Basque getaway, located at the foot of the Brooklyn and Manhattan Bridges. Sleek coffee-brown tables, globe light fixtures dangling throughout, and a long, marble-top bar exude midcentury-modern style, while a constant crowd fosters a near electric vibe. Indeed, everything is meant to be shared, and everyone is having a good time.A mound of house-made potato chips layered with thin slices of jamón Ibérico is a fitting start, before piling the table with heartier dishes like meltingly tender tripe slow-braised with tomatoes and morcilla. Then linger over an equally rich grilled squad breast served with rice and mushrooms. The wine list is an impressive tomb of small organic and biodynamic Spanish producers.",$,4,New York,USA,New York
15 East at Tocqueville,"1 E. 15th St., New York, 10003, USA",Contemporary,-73.9929703,40.7366741,Selected Restaurants,0,"Air conditioning,Counter dining,Interesting wine list,Terrace,Wheelchair access","Chef/owner Marco Moreira's 15 East at Tocqueville remains one of the more elegant dining rooms in New York. This is a place where starched white linens, polished cutlery and suited staff have a place and a strong martini is a must order in the bar. Luxurious ambience aside, the menus offer a good value. From sushi and sashimi to delicious soba, the offerings are vast. A bowl of noodles may arrive crowned by top-grade ikura, uni and caviar, all rich with umami. Then expect an irresistibly flavorful preparation of venison with smoked bacon, potato mousseline, and salsify. It would be a pity to skip dessert, so indulge in the gluten-free Mineoka tofu with milk sesame pudding and tomato husk compote.",$,4,New York,USA,New York
Rosella,"137 Avenue A, New York, 10009, USA",Japanese,-73.9828623,40.7271207,Selected Restaurants,0,"Air conditioning,Counter dining,Interesting wine list","This high dining, hyper-sustainable operation is proudly unbound by tradition. The space is quaint and deviates from the blonde-wood minimalism so prevalent these days. Instead, find hues of cerulean blue and a counter made from a tree. À la carte is available but go for the tasting menu to really understand this restaurant's sourcing philosophy. In terms of cuisine, it's pure contemporary elegance, as seen in shrimp nigiri that's first cured, then seared until it curls into the rice and finished with shrimp head-chili oil. End with amazake, presented as a porridge with white peach-nectarine jam.An impressive wine list sources from the North Fork and West Coast.",$,3,New York,USA,New York
Barbuto,"113 Horatio St., New York, 10014, USA",Italian,-74.0093823,40.7389461,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","After closing its original location, this favorite from Chef Jonathan Waxman reopened just a few blocks away. The feel of the space is much the same, with the likes of a humming kitchen and arched windows with views of the Hudson. On colder days, the wood-burning oven provides a focal point in what is a fairly industrial space, but one with a laid-back vibe that's helped along by confident service and a crowd of regulars.The place is rather large with tables scattered throughout and typically piled with dishes from the simplified but approachable and distinctive Italian menu. Products and technique in these dishes are strong, as may be seen in the polpetti, a crisp, hearty and delicious pork meatball appetizer, tailed by the infamous pollo al forno.",$,2,New York,USA,New York
Indian Accent,"123 W. 56th St., New York, 10019, USA",Indian,-73.97863,40.764107,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","There are three Indian Accents: New Delhi is the most glamorous and London the most intimate. New York however delivers the most bustle, but they all celebrate the increasing sophistication of this sub-continent’s cuisine by offering contemporary specialities and elevated street food from a number of regions in balanced, well thought out tasting menus. The clued-up staff knows their syllabus and offers sound recommendations.There are other similarities, not least in the fact that some dishes, like the ghee roast lamb with roti, appear in all three. The best items, however, are often those that could persuade you to take up vegetarianism full time, including the sweet potato shakarkandi or baby idlis that feature extra firepower courtesy of “gunpowder.”",$,4,New York,USA,New York
Kyma,"15 W. 18th St., New York, 10011, USA",Greek,-73.9923,40.73877,Selected Restaurants,0,"Air conditioning,Brunch,Wheelchair access","As its name in Greek suggests, this stunner is making “waves” in town by way of Roslyn, New York. The space transports diners to the Ionian Sea but it’s not just beauty that bewitches here. All Hellenic meals begin with a panoply of spreads, so using a warm pita, scoop up the pikilia trio with feta, hummus and taramasalata. Calamari stuffed with four cheeses and served over a Nafpaktos tomato sauce is a winner. Not far behind, find that phyllo-wrapped spanakopita delight with spinach and cheese. The menu also lists a series of fresh-caught fish ready for “your pleasure.” Carnivores though will also get their fill by way of the short rib youvetsi. Ekmek kataifi, featuring shredded phyllo and semolina custard, is a fine way to end this Greek feast.",$,3,New York,USA,New York
Cervo’s,"43 Canal St., New York, 10002, USA",Spanish,-73.9914,40.71479,Selected Restaurants,0,"Air conditioning,Interesting wine list,Terrace","The cooking has never been better at this high-energy galley built out of mosaic tiles and cozy wood paneling. Inspired by the coastal traditions of Spain and Portugal, the menu is packed with winners. Indeed, this is a kitchen that isn’t afraid of flavor. A salad of pea shoots is deceptive in its sophistication thanks to roasted hazelnuts, aged goat cheese and a blizzard of freshly cracked black pepper. Marinated potatoes tango with thinly sliced onions and fried rock shrimp. Fish is a must; swing for the seabream cooked until the skin is crisp as a chip and then covered in sweet Habanada peppers. Whether you’re waiting to get in, sitting at a table or bar, or cooking, everyone is elbow to elbow, and all too happy to stay a little while longer.",$,3,New York,USA,New York
Seis Vecinos,"640 Prospect Ave., New York, 10451, USA",Latin American,-73.90339,40.815186,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","Sitting on a prominent corner at the base of an ornate yet classic NYC building is this now-well ensconced restaurant. The interior is sunny and welcoming with a gracious staff to boot; the menu is melting pot Central America featuring papusas from El Salvador, baleadas from Honduras and enchiladas from Mexico. Go for a side of cheese—the cuajada is a soft curd variety offering a taste of Nicaragua. Tacos, like the enchilada with a spicy pork concoction, are simple but gratifying; while the heartier, fork-tender oxtail floating in an intense sauce with a hint of sweetness embodies the kitchen's complexity of flavors.Breakfast delivers hearty offerings such as picaditas verdes with carne al gusto or huevos revueltos con verduras y casamiento.",$,2,New York,USA,New York
East Harbor Seafood Palace,"714-726 65th St., New York, 11220, USA",Chinese,-74.01442,40.63343,Selected Restaurants,0,"Air conditioning,Wheelchair access","Guests can barely get through this front door, where crowds pack in on weekends for dim sum. They wait patiently as an announcer shouts reservation numbers over a booming speaker—like a game of high-stakes bingo. Dim sum is a well-orchestrated affair, with steaming carts rolling by and waiters ferrying trays into the gold-accented dining room. Eyes can guide the ordering when it comes to the carts, stocked with authentic bites. Highlights include the siu mai, followed by rice noodles wrapped around shrimp and doused in a sweet soy sauce. Black bean spare ribs are flavorful, but don't skip the zongzi—tea leaf-wrapped sticky rice stuffed with pork and mushrooms.Things are more tame on weekdays, but that just means there's no need to fight the lines.",$,2,New York,USA,New York
Taverna Kyclades,"36-01 Ditmars Blvd., New York, 11105, USA",Greek,-73.9082,40.77437,Selected Restaurants,0,"Air conditioning,Terrace","You will only find happy people here, and the Aegean-blue awning feels as essential to the neighborhood as traffic lights. This beloved Greek spot (with a second location in Bayside) is a lively one where the bustling kitchen is in view. Quick, straightforward servers may address you in Greek if you look the part—that’s just how local it gets here.Grab a seat on the enclosed patio for some serenity and get things going with garlicky and bubbling-hot crab-stuffed clams; or the cold, classic trio of powerful skordalia, cooling tzatziki and briny taramosalata served with toasted pita triangles. Order a side of horta (steamed escarole and dandelion) to accompany a plate of sweet and delicate mullets, served with a side of lemon potatoes.",$,2,New York,USA,New York
Runner & Stone,"285 Third Ave., New York, 11215, USA",Contemporary,-73.98619,40.677254,Selected Restaurants,0,"Air conditioning,Brunch","This ambitious operation's name refers to the two stones used to grind grain; the location is just blocks from where the city’s first tidewater grist mill once stood; and a Per Se alum heads the bakery. Inside, the theme continues with walls constructed of concrete blocks shaped like flour sacks.The menu is split between salads and sandwiches, with many between-the-bread offerings. Sandwiches showcase the house-baked breads, like whole wheat pain au lait grilled with cheddar and pickled peppers; or falafel-inspired broccoli fritters in a warm pita with harissa and walnut-yogurt sauce. The tuna melt, made with tuna confit, tomato olive relish, mayo arugula and fontina cheese on a semolina roll, is an elegant update. Don't miss dessert, and definitely bring extra home.",$,2,New York,USA,New York
DaXi Sichuan,"136-20 Roosevelt Ave., Ste. 2R, New York, 11354, USA",Chinese,-73.82923,40.759773,Selected Restaurants,0,Air conditioning,"Unlike many other spicy retreats, DaXi Sichuan doesn’t always go for the jugular with that tongue-numbing one-two punch. Instead, this elegant spot on the second floor of the New World Mall shares a more nuanced approach to regional Chinese cuisine—imagine slivers of cold marinated duck in a pool of fiery chili-infused oil. Other dishes, like the pig ear and wild mushroom or cucumber roll showcase subtle flavors, while Tibet-style pork ribs dusted with peppercorns are tender and juicy. Even the straightforward house special, featuring a mix of fluffy rice, pork and potatoes, is known to satisfy many an appetite.Service is sporadic and at times food arrives at lightning speed, but on its best days, this kitchen is capable of delicious work.",$,2,New York,USA,New York
Le Gigot,"18 Cornelia St., New York, 10014, USA",French,-74.00169,40.73141,Selected Restaurants,0,"Air conditioning,Brunch,Terrace","At first glance, Le Gigot transports guests to an inviting little family-owned bistro—the kind you’d only find in La Ville-Lumière. The service exceeds expectations with uncharacteristic warmth that brings a welcoming vibe to the nostalgic dining room. Tasty renditions of classic bistro fare dominate the menu, so expect the cooking to be familiar and pleasing. The petit bouillabaisse begins as a saffron fish broth with a red-peppery North African accent to elevate the traditional fish and seafood dish. Their cassoulet is a beloved Toulousaine version with duck confit, bacon, cannellini beans, herbs and luscious pork. Finally, apple tarte tatin, served warm with a dollop of crème fraîche and fresh blueberries, is a perfect closer.",$,3,New York,USA,New York
Hart's,"506 Franklin Ave., New York, 11238, USA",Mediterranean Cuisine,-73.9557486,40.6813202,Selected Restaurants,0,"Air conditioning,Brunch,Terrace","Tucked behind the Franklin Avenue subway stairs, this intimate Mediterranean venue has been causing quite a stir. A pretty slate-blue façade directs you to a small space starring whitewashed brick walls, blonde wood tables and a skylight. A handful of seats at the marble counter offer a view into the mini kitchen. But, there is nothing mini about Chef Nick Perkins’ culinary skills. In fact, he is the master of working magic out of a small kitchen.Start with an heirloom tomato salad laced with olive oil, dried red chili, and paired with escabeche-style mussels. Then perfectly poached hake is served with anchovies and bitter greens for a rustic yet relishable dish. Pork Milanese plated with cucumber and shaved fennel flaunts a great deal of fun and flair.",$,2,New York,USA,New York
Falansai,"112 Harrison Pl., New York, 11237, USA",Vietnamese,-73.92877,40.7068,Selected Restaurants,0,"Air conditioning,Terrace,Wheelchair access","On a quiet corner in Bushwick, Chef Eric Tran is doing things his own way as he leans into his Vietnamese-Mexican heritage. What does that mean exactly? It means you can order sesame rice crackers topped with guacamole and tuna as well as a spicy green curry with grilled squid, all from the same kitchen. The menu changes often but there are some fixtures, like egg rolls filled with Berkshire pork and wood ear mushrooms or the fried rice with Vietnamese mortadella and Chinese sausage. If you’re with a group, swing for one of the large entrees, like the hulking five-spice lamb neck that’s meltingly tender and comes with salsas and warm tortillas. White brick walls covered in vinyl records add to the homey charm of this personable restaurant.",$,2,New York,USA,New York
Atoboy,"43 E. 28th St., New York, 10016, USA",Korean,-73.98449,40.74358,Selected Restaurants,0,"Air conditioning,Counter dining,Terrace","Together with his wife, Ellia, Chef Junghyun Park wows diners from start to finish at this Gramercy hot spot with their unapologetic passion for Korean food. The fact that they eschew any kind of city pretense in favor of a deeply welcoming atmosphere simply adds to the allure.The space, which leans grungy-chic, was recently refurbished to feature rustic floors, communal tables, and singular artwork. The menu woos locals, visitors, and foodies alike with its adventurous—yet approachable—take on Korean cooking. Here you may find the likes of braised eggplant with snow crab and tomato; or crispy fried chicken brined in pineapple juice, coated with tempura batter, and served with a ginger-peanut butter sauce.",$,4,New York,USA,New York
Lord's,"506 Laguardia Pl., New York, 10012, USA",English,-73.9993702,40.727706,Selected Restaurants,0,Air conditioning,"It feels straight out of London at this meat-centric restaurant with a nose to tail ethos from Chef Ed Szymanski and Patricia Howard, the partners behind smash hit, Dame. It's ever so charming, with cozy nooks and banquettes, and is always packed, but the bar maintains space for walk ins. Come on a cold day for hearty English classics with a touch of creativity (think curried lamb scotch egg). Like most of the dishes, duck-stuffed cabbage with mashed potatoes could feed an army, so order shared plates-style to sample without becoming stuffed. The apple & calvados trifle closes things out with just the right note of sweetness. Plan to indulge during the week; Lord's is closed on weekends to give staff a better work-life balance.",$,3,New York,USA,New York
Nudibranch,"125 First Ave., New York, 10003, USA",Contemporary,-73.9855867,40.727431,Selected Restaurants,0,"Air conditioning,Counter dining","Chefs Matthew Lee and Jeff Kim are behind the East Village's well-loved Nudibranch. The food is contemporary with strong Asian influences along with a few Italian and Scandinavian elements making an appearance. Portions lean dainty, but nobody seems to care, as they're all nibbling off each other's plates, family style.Begin with fried frogs legs finished with bright galangal and lemongrass before tucking in to cauliflower three ways. The signature mushroom dish has been on the menu since day one.  Finally, the rosette with a pear compote and diplomate cream is a light and subtle finish to a bold meal—and worth the add on.",$,4,New York,USA,New York
Gotham,"12 E. 12th St., New York, 10003, USA",American,-73.99379,40.73417,Selected Restaurants,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","Three decades in, longtime pastry chef Ron Paprocki now runs the show at this tried-and-true institution. With just the right amount of glamour, the warmly lit space is helmed by a personable team who makes every diner feel welcomed.Gotham exudes old-school New York, as does the classic American cooking with Continental accents. Though far from avant-garde, beloved fixtures like tuna tartare, pâté en croute or roasted rack of lamb will never go out of style. The well-executed dishes showcase quality ingredients and eschew trendy presentations—and their size bears witness to the largesse of the kitchen. Rhubarb mille-feuille, layered with house-made whipped ricotta and rhubarb roasted, stewed, and prepared in thin chips, is a solid finale.",$,4,New York,USA,New York
Dons Bogam,"17 E. 32nd St., New York, 10016, USA",Korean,-73.98429,40.74689,Selected Restaurants,0,"Air conditioning,Counter dining","At Dons Bogam, the food is fantastic and service indulgent. From the festive bar up front right down to those two-tops sporting blazing grills, every seat is filled, so reserve ahead. Make no mistake: this is no average K-town joint. Inside, a top-notch venting system lets diners enjoy a smoke-free evening of exceptional grilled meats. Start with fried pork mandu, which are on-point and divine. Pork belly marinated in red wine is smoky and supremely tender, but for the ultimate payoff, opt for the beef platter. It features thinly sliced maeun and yangnyeom galbi set beside meaty king trumpet mushrooms.In Midtown for meetings? Pop in for the BBQ lunch, a fun and interactive midday meal that is leaps above a quick grab-and-go salad, yet just as healthy.",$,2,New York,USA,New York
R40,"47-16 Vernon Blvd., New York, 11101, USA",Argentinian,-73.953442,40.7450882,Selected Restaurants,0,"Air conditioning,Interesting wine list,Terrace","As the saying goes, the nose knows. These are words to live by at this vibrant Argentinian parilla. With big meats sizzling over a roaring grill, a subtle smoke wafts through the long dining room, built out of sleek wood, exposed brick and dangling greenery. When the nights are cool, the party is further back out on the well-tended patio. Everything here is meant to be shared, starting with the hearty empanadas that come stuffed with everything from filet mignon and raisins to pork shoulder and potatoes. Housemade pastas and chicken milanesa are always tempting, but first timers should dig into favorites like skirt steak with chimichurri. Only serious appetites should order the combination platter featuring steak, ribs, chorizo and sweetbreads.",$,3,New York,USA,New York
Kimika,"40 Kenmare St., New York, 10012, USA",Fusion,-73.9951428,40.7205739,Selected Restaurants,0,"Air conditioning,Brunch,Terrace","Japanese-Italian fusion is on the menu at this contemporary gem, displaying a myriad of colors and textures. While herringbone tile floors greet you upon entry, natural wood planks dominate the sunken dining room. A lofty ceiling looks down upon the bar area, marked by handsome square columns, a few tables and green settees. Your plate might unveil Asian ingredients cleverly weaved into classic Italian flavors—think of a rice cake lasagna with savory sausage, cabbage and tomato sauce. Small plates, like fried pizzette topped with shiso-sunflower pesto, squash shavings and chili oil, are ideal for sharing. Following their beverage program, desserts like Yakult soft-serve with roasted strawberries and chicken-skin streusel flaunt an equally inventive twist.",$,2,New York,USA,New York
Melba's,"300 W. 114th St., New York, 10026, USA",Southern,-73.95659,40.80304,Selected Restaurants,0,"Air conditioning,Brunch,Terrace","With its colorful spirit and lineup of Southern classics, this comfortable spot—as charming and lovely as its namesake owner, born-and-bred Harlemite Melba Wilson—is a perfect reflection of the neighborhood’s flavor, culture and past. It’s a place to gather and relax over good food and drinks, from Auntie B’s mini-burgers slathered with a smoky sweet sauce to a golden-brown and berry-licious fruit cobbler that’s nothing short of heaven on a plate. Equally enticing is the Southern fried chicken—darkly bronzed, sweet and salty when paired with Melba’s iconic eggnog waffles.Expect other surprises like spring rolls stuffed with black-eyed peas, collards and cheddar cheese, as well as a healthy-minded grilled vegetable Napoleon with buffalo mozzarella.",$,3,New York,USA,New York
Ulivo,"4 W. 28th St., New York, 10001, USA",Italian,-73.9877,40.744812,Selected Restaurants,0,"Air conditioning,Wheelchair access","One bite makes it clear that this kitchen boasts a skilled chef and owner—Emanuel Concas. His menu—which reads like a proper lesson in regional Italian cooking—and list of aperitivos has been known to sate many a palate. Pastas are made in-house and may include cannelloni al forno with béchamel, parmigiano and short rib ragú. Then indulge in wood-fired delicacies that prove the chef’s Sardinian roots, like bottarga di muggine di Cabras liberally shaved over pici; or seadas, featuring a fritter filled with pecorino and topped with honey. Seal your meal with a springtime treat, like pastiera napoletana, composed with egg, ricotta, vanilla and citrus.Take a moment to appreciate the olive oil at the heart of this food and pick up a bottle or two to go.",$,3,New York,USA,New York
Junoon,"19 W. 24th St., New York, 10010, USA",Indian,-73.9908429,40.7430797,Selected Restaurants,0,"Air conditioning,Restaurant offering vegetarian menus,Wheelchair access","Junoon has reemerged on the scene and its new incarnation is nothing short of striking. Featuring a series of spaces (the front area is primarily suited for a bite and bevy), the reprized décor flaunts pendant lights strung with thick grass ropes, vintage mirrors, and a gleaming white marble bar. Speaking of, teetotalers rejoice as the mocktails alone (a cucumber collins, anyone?) are worth a letter home.Bold Indian flavors and elegant platings are par for the course. The menu certainly makes the most of goat as a whole. To wit: toasted brioche with goat brain; or las mas (goat cooked with Mathania red chili and smoked mustard oil). Savory dal makhani calls for a house-spiced naan; while desserts, like Ma's rice pudding, are a consummate denouement.",$,3,New York,USA,New York
The Grill,"99 E. 52nd St., New York, 10022, USA",American,-73.9722621,40.7581462,Selected Restaurants,0,"Air conditioning,Interesting wine list,Wheelchair access","Once the power crowd’s club of choice for dining and dishing, this stallion in the former Four Seasons (now run by Major Food Group) belongs to a rarefied crowd of iconic NYC addresses. After undergoing a stylish makeover, this incarnation is once again the favored watering hole of the well-heeled. The Grill is a grandiose scene, with flashy service to match (tableside presentations are plentiful). Over in the kitchen it's all-American, with a menu of beloved classics. Crab cakes topped with pan-fried potatoes are a highlight; while crispy duck is especially indulgent, featuring shatteringly crunchy skin and silky fat gushing with flavor.For dessert, a chiffon cake layered with lemon curd and frosted with buttercream tastes of the good times gone by.",$,4,New York,USA,New York
